弹体重量,弹体直径,弹体长度,侵彻速度,靶体抗压强度,弹体形状系数,侵彻深度
4.43,57,456.4,340.2,35,,0.31
4.43,57,456.4,419.2,35,,0.427
4.43,57,456.4,384.9,35,,0.427
4.44,57,456.4,364.48,35,,0.36
4.43,57,456.4,497.18,35,,0.5
4.44,57,456.4,590,35,,0.625
18.7,125,684,353,48,,0.603
18.6,125,684,346,48,,0.489
19.5,125,684,356,48,,0.599
0.25,20,120,216,76.6,3,0.053
0.25,20,120,224,76.6,3,0.059
5,64,320,409,34.7,3,0.512
7.226,64,400,317,35,,0.345
7.434,64,400,308,35,,0.42
4,60,300,833,47.6,3,1.25
4,60,300,1119,47.6,3,1.79
4,60,300,997.5,47.6,3,1.58
4,60,300,1242,47.6,3,2.136
4,60,300,1401.8,47.6,3,3.2
1.406,40,213,431,14.8,2,0.384
0.064,12.9,88.9,371,13.5,3,0.13
0.064,12.9,88.9,590,13.5,3,0.31
0.064,12.9,88.9,670,13.5,3,0.36
0.064,12.9,88.9,722,13.5,3,0.41
0.064,12.9,88.9,945,13.5,3,0.64
0.064,12.9,88.9,1126,13.5,3,0.85
0.064,12.9,88.9,345,13.5,4.25,0.11
0.064,12.9,88.9,585,13.5,4.25,0.31
0.064,12.9,88.9,722,13.5,4.25,0.44
0.064,12.9,88.9,1063,13.5,4.25,0.86
0.064,12.9,88.9,492,21.6,3,0.17
0.064,12.9,88.9,618,21.6,3,0.25
0.064,12.9,88.9,788,21.6,3,0.45
0.064,12.9,88.9,910,21.6,3,0.55
0.064,12.9,88.9,1142,21.6,3,0.85
0.064,12.9,88.9,473,21.6,4.25,0.17
0.064,12.9,88.9,660,21.6,4.25,0.27
0.064,12.9,88.9,775,21.6,4.25,0.41
0.064,12.9,88.9,921,21.6,4.25,0.57
0.064,12.9,88.9,1050,21.6,4.25,0.76
0.064,12.9,88.9,1356,19.5,3,1.06
0.064,12.9,88.9,1408,19.5,3,0.58
0.478,20.3,203.2,450,62.8,3,0.3
0.478,20.3,203.2,612,62.8,3,0.48
0.478,20.3,203.2,926,62.8,3,0.95
0.478,20.3,203.2,987,62.8,3,0.92
0.478,20.3,203.2,1024,62.8,3,0.94
1.608,30.5,304.8,405,51,3,0.37
1.6,30.5,304.8,446,51,3,0.42
1.6,30.5,304.8,545,51,3,0.56
1.603,30.5,304.8,651,51,3,0.78
1.604,30.5,304.8,804,51,3,1.05
1.6,30.5,304.8,821,51,3,1.23
1.599,30.5,304.8,1009,51,3,1.75
1.603,30.5,304.8,1201,51,3,2.03
25,100,666,310,35,4,0.59
25,100,666,387,35,4,0.76
25,100,666,468,35,4,1.18
25,100,666,624,35,4,1.71
2.3,50.8,355.6,320,43,3,0.185
2.3,50.8,355.6,310,43,3,0.175
0.487,20.3,203.2,442,58.4,3,0.287
0.487,20.3,203.2,610,58.4,3,0.491
0.487,20.3,203.2,1009,58.4,3,1.3
0.487,20.3,203.2,1162,58.4,3,1.59
0.487,20.3,203.2,791,58.4,3,0.73
0.487,20.3,203.2,994,58.4,3,1.16
0.487,20.3,203,815,58.4,3,0.84
0.487,20.3,253.75,797,58.4,3,1.01
0.487,20.3,301.5,803,58.4,3,1.226
1.62,30.5,304.7,445,58.4,3,0.46
1.62,30.5,304.7,584,58.4,3,0.79
1.62,30.5,304.7,796,58.4,3,1.23
1.62,30.5,304.7,980,58.4,3,1.95
1.62,30.5,304.7,1176,58.4,3,2.67
1.62,30.5,304.7,972,58.4,3,1.96
1.62,30.5,304.7,1225,58.4,3,2.83
13.04,76.2,530.73,332,23,3,0.96
13.05,76.2,530.73,337,23,3,1.02
13.06,76.2,530.73,279,23,3,0.69
12.92,76.2,530.73,201,23,3,0.45
13,76.2,530.73,164,23,3,0.31
0.906,26.9,242.4,277,35.2,2,0.173
0.91,26.9,242.4,410,37.8,2,0.31
0.907,26.9,242.4,431,38.1,2,0.411
0.912,26.9,242.4,499,33.5,2,0.48
0.91,26.9,242.4,567,38.4,2,0.525
0.905,26.9,242.4,590,36.9,2,0.729
0.901,26.9,242.4,591,40.1,2,0.513
0.904,26.9,242.4,800,32.4,2,0.958
0.907,26.9,242.4,561,90.5,2,0.353
0.908,26.9,242.4,608,95,2,0.422
0.905,26.9,242.4,622,101.4,2,0.437
0.907,26.9,242.4,750,94,2,0.63
0.9,26.9,242.4,793,108,2,0.605
13.043,76.2,530.73,139.3,23,3,0.24
13.037,76.2,530.73,200,23,3,0.42
13.158,76.2,530.73,283.7,23,3,0.76
13.08,76.2,530.73,336.6,23,3,0.93
13.061,76.2,528.47,238.4,23,6,0.58
13.064,76.2,528.47,378.6,23,6,1.25
12.923,76.2,530.73,238.1,39,3,0.3
12.91,76.2,530.73,314,39,3,0.45
12.914,76.2,530.73,369.5,39,3,0.53
12.957,76.2,530.73,456.4,39,3,0.94
12.876,76.2,528.47,312.5,39,6,0.61
12.909,76.2,528.47,448.5,39,6,0.99
0.2461,25,160.7,348,9,6,0.2335
0.2461,25,160.7,819,9,6,1.247
0.2461,25,160.7,810,28.4,6,0.447
101,153,812,737,30,,4.57
81,140,849,835,30,,5.1
0.912,26.9,206.8,499,33.5,,0.48
0.898,26.9,206.8,584,91,,0.384
0.064,12.92,67.5,371,14,,0.127
0.064,12.92,63.1,345,14,,0.111
0.1018,15,105,1141,161.2,3,0.293
0.1018,15,105,740,161.2,3,0.136
0.1018,15,105,979,161.2,3,0.231
0.1018,15,105,1271,161.2,3,0.372
0.1018,15,105,658,161.2,3,0.127
0.1018,15,105,1318,161.2,3,0.372
0.1018,15,105,892,161.2,3,0.196
0.1018,15,105,728,117.9,3,0.177
0.1018,15,105,959,117.9,3,0.262
0.1018,15,105,1276,117.9,3,0.394
0.1018,15,105,748,117.9,3,0.17
0.1018,15,105,889,117.9,3,0.222
0.1,15,105,1002,60,3,0.385
0.1,15,105,1090,60,3,0.415
0.1,15,105,1218,60,3,0.529
0.1,15,105,1172,60,3,0.4
0.1,15,105,1257,60,3,0.54
0.1,15,105,883,60,3,0.21
0.1,15,105,986,60,3,0.24
0.1,15,105,1081,35,3,0.945
0.1,15,105,1000,35,3,0.795
0.1,15,105,873,35,3,0.63
0.1,15,105,982,35,3,0.985
0.10305,15,105,721,35,3,0.29
0.10526,15,105,996,35,3,0.315
0.10275,15,105,1097,35,3,0.24
0.10355,15,105,1180,35,3,0.243
0.08982,15,105,1031,35,3,0.51
0.09082,15,105,1373,35,3,0.79
0.08521,15,105,842,35,3,0.454
0.08546,15,105,1045,35,3,0.667
0.11084,15,105,498,35,3,0.189
0.10168,15,105,1000,35,3,0.795
0.10115,15,105,1081,35,3,0.945
0.10176,15,105,590,35,3,0.293
0.10176,15,105,788,35,3,0.5
0.12734,15,105,664,35,3,0.495
0.12761,15,105,822,35,3,0.73
0.12769,15,105,1010,35,3,0.827
0.1275,15,105,1142,35,3,0.79
0.12762,15,105,1269,35,3,0.89
0.3295,25.3,151.9,554,75,3,0.232
0.3292,25.3,151.9,692,75,3,0.343
0.3291,25.3,151.9,798,75,3,0.414
0.3296,25.3,151.9,549,120,3,0.14
